track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,album_type,total_tracks,artists_count,release_year,release_month,years_since_release,decade,genres,primary_genre,artist_popularity,artist_followers,duration_minutes,is_single,popularity_category,is_collaboration,bpm,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
HOLA PERDIDA,"Luck Ra, KHEA",HOLA PERDIDA REMIX,2024-05-31,65,201030,0,single,1,3,2024,5,1,2020s,"cuarteto,cumbia,argentine trap",cuarteto,77,2290709,3.35,1,medium,1,151,0.14,0.498,8,0.0,0.746,-5.809,0.0706,0.538
Hoy,"Valentino Merlo, The La Planta",Hoy,2024-05-22,72,198495,0,single,1,2,2024,5,1,2020s,"cuarteto,cumbia",cuarteto,69,385699,3.31,1,medium,1,176,0.24,0.451,7,0.0,0.154,-4.612,0.0426,0.661
Hoy Lo Siento (feat. Tony Dize),"Zion, Lennox, Tony Dize",Los Verdaderos,2010-11-02,59,226640,0,album,16,3,2010,11,15,2010s,reggaeton,reggaeton,53,43888,3.78,0,medium,1,92,0.0823,0.765,8,0.0,0.0547,-6.248,0.1,0.582
Imagínate,"Danny Ocean, Kapo",Imagínate,2024-11-07,83,170365,0,single,1,2,2024,11,1,2020s,reggaeton,reggaeton,80,5920221,2.84,1,high,1,102,0.134,0.779,7,0.0,0.0974,-4.667,0.109,0.445
KETU TeCRÉ,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,83,250789,1,album,17,1,2025,1,0,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,4.18,0,high,0,98,0.25,0.636,7,7e-06,0.116,-4.708,0.0323,0.544
Khé?,"Rauw Alejandro, Romeo Santos",Cosa Nuestra,2024-11-15,85,206066,0,album,18,2,2024,11,1,2020s,"reggaeton,urbano latino,trap latino,latin",reggaeton,90,26865670,3.43,0,high,1,115,0.0703,0.849,8,0.0,0.0491,-3.508,0.0737,0.649
Kilerito,"Brytiago, Anuel AA",Kilerito,2024-04-19,68,225270,1,single,1,2,2024,4,1,2020s,"trap latino,reggaeton,urbano latino,trap",trap latino,76,7247060,3.75,1,medium,1,180,0.61,0.665,8,0.0,0.115,-2.41,0.129,0.935
KLOuFRENS,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,85,199114,1,album,17,1,2025,1,0,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,3.32,0,high,0,98,0.25,0.636,7,7e-06,0.116,-4.708,0.0323,0.544
Kyoto,"Omar Courtz, De La Rose, Haze",Kyoto,2023-07-14,75,247840,1,single,1,3,2023,7,2,2020s,unknown,unknown,83,767684,4.13,1,high,1,95,0.235,0.732,8,1.7e-05,0.568,-4.269,0.0512,0.405
La Bachata,Manuel Turizo,2000,2023-03-17,77,162637,0,album,15,1,2023,3,2,2020s,"reggaeton,latin,colombian pop",reggaeton,81,14754726,2.71,0,high,0,125,0.583,0.835,7,2e-06,0.218,-5.329,0.0364,0.85
LA CANCIÓN,"J Balvin, Bad Bunny",OASIS,2019-06-28,81,242573,0,album,8,2,2019,6,6,2010s,"reggaeton,latin",reggaeton,87,37966881,4.04,0,high,1,176,0.152,0.754,6,1.8e-05,0.108,-5.795,0.317,0.429
La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",Platonicos,2020-06-12,75,219048,0,album,12,3,2020,6,5,2020s,reggaeton,reggaeton,77,4587213,3.65,0,high,1,90,0.269,0.845,7,0.000917,0.108,-4.798,0.136,0.68
LA FALDA,Myke Towers,LVEU: VIVE LA TUYA...NO LA MIA,2023-09-18,77,174229,1,album,23,1,2023,9,2,2020s,"reggaeton,trap latino,urbano latino",reggaeton,88,18928414,2.9,0,high,0,186,0.269,0.678,7,0.0,0.26,-4.007,0.0825,0.897
LA INOCENTE,"Mora, Feid",MICRODOSIS,2022-04-01,74,202173,1,album,15,2,2022,4,3,2020s,"urbano latino,reggaeton,trap latino",urbano latino,80,6911191,3.37,0,medium,1,89,0.484,0.533,7,0.0,0.119,-2.809,0.322,0.552
La Morocha,"Luck Ra, BM",QUE NOS FALTE TODO,2024-02-02,64,134144,0,album,11,2,2024,2,1,2020s,"cuarteto,cumbia,argentine trap",cuarteto,77,2290709,2.24,0,medium,1,149,0.0966,0.753,8,0.0,0.279,-5.751,0.0341,0.971
La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",La Plena (W Sound 05),2025-02-19,71,150001,1,single,1,3,2025,2,0,2020s,reggaeton,reggaeton,68,430039,2.5,1,medium,1,99,0.543,0.894,6,0.000984,0.101,-3.485,0.132,0.659
Las 12,"Mackie, KEVIN ROLDAN",Las 12,2020-10-23,64,211243,0,single,1,2,2020,10,5,2020s,reggaeton,reggaeton,56,23339,3.52,1,medium,1,168,0.184,0.656,7,0.0,0.0682,-6.431,0.147,0.696
Llévame Contigo,Romeo Santos,Fórmula Vol. 1 (Deluxe Edition),2012-08-27,74,226400,0,album,20,1,2012,8,13,2010s,"bachata,bachata pop,latin",bachata,84,24550197,3.77,0,medium,0,119,0.602,0.813,7,1e-06,0.0919,-5.092,0.0319,0.92
Loca,"KHEA, Duki, Cazzu, Omar Varela, MYKKA",Loca,2017-11-22,71,246382,1,single,1,5,2017,11,8,2010s,"argentine trap,trap,trap latino",argentine trap,75,6022813,4.11,1,medium,1,113,0.342,0.834,8,0.0,0.108,-3.011,0.0486,0.462
Loco,Beéle,Loco,2019-08-08,73,204000,0,single,1,1,2019,8,6,2010s,reggaeton,reggaeton,82,1210315,3.4,1,medium,0,105,0.158,0.82,6,2.4e-05,0.0469,-5.965,0.17,0.773
Loco,Neton Vega,Loco,2024-12-20,86,186521,0,single,1,1,2024,12,1,2020s,"corrido,corridos tumbados,corridos bélicos,electro corridos",corrido,88,1434098,3.11,1,high,0,92,0.0741,0.849,7,0.00768,0.139,-5.502,0.0686,0.632
Los Infieles,Aventura,K.O.B. Live,2006-12-19,74,257186,0,album,25,1,2006,12,19,2000s,"bachata,bachata pop",bachata,79,9622602,4.29,0,medium,0,133,0.202,0.745,7,0.0,0.059,-8.221,0.0411,0.817
Love Me Again,V,Layover,2023-08-11,71,182293,0,single,2,1,2023,8,2,2020s,k-pop,k-pop,81,19366762,3.04,1,medium,0,74,0.183,0.633,6,1e-06,0.167,-6.182,0.0532,0.363
"Luck Ra: Bzrp Music Sessions, Vol. 61","Bizarrap, Luck Ra","Luck Ra: Bzrp Music Sessions, Vol. 61",2024-12-27,77,170953,0,single,1,2,2024,12,1,2020s,"argentine trap,trap latino,urbano latino",argentine trap,80,17548808,2.85,1,high,1,160,0.0623,0.704,9,0.0,0.0982,-4.649,0.13,0.638
LUNA,"Feid, ATL Jacob",FERXXOCALIPSIS,2023-12-01,84,196800,0,album,10,2,2023,12,2,2020s,"reggaeton,urbano latino",reggaeton,89,16314649,3.28,0,high,1,100,0.131,0.774,9,0.0,0.116,-2.888,0.13,0.446
Luísa Sonza,Young Ganni,Luísa Sonza,2020-07-24,9,121375,1,single,1,1,2020,7,5,2020s,"brazilian trap,trap funk,brazilian hip hop,trap",brazilian trap,53,14738,2.02,1,very_low,0,120,0.796,0.734,3,0.0,0.225,-9.627,0.362,0.351
LV Bag (feat. j-hope of BTS & Pharrell Williams),"Don Toliver, Speedy, j-hope, Pharrell Williams",LV Bag (feat. j-hope of BTS & Pharrell Williams),2025-02-21,78,182603,1,single,1,4,2025,2,0,2020s,unknown,unknown,86,6187898,3.04,1,high,1,122,0.0151,0.771,5,0.0,0.0375,-7.469,0.032,0.313
M.A.I,Milo j,"""Rêverie"" - Lullabies for a Quiet Evening",2025-03-03,19,231746,0,album,68,4,2025,3,0,2020s,classical,classical,70,2624958,3.86,0,very_low,1,100,0.478,0.503,5,0.0,0.124,-5.35,0.038,0.545
Madura,"Cosculluela, Bad Bunny",Madura,2018-04-13,73,190995,0,single,1,2,2018,4,7,2010s,"reggaeton,trap latino,latin hip hop",reggaeton,75,6525306,3.18,1,medium,1,176,0.132,0.794,5,2e-06,0.139,-7.729,0.314,0.759
Manicomio,Cosculluela,Blanco Perla,2016-03-15,70,228666,0,album,15,1,2016,3,9,2010s,"reggaeton,trap latino,latin hip hop",reggaeton,75,6525306,3.81,0,medium,0,91,0.0525,0.765,6,0.0,0.379,-5.442,0.0847,0.703
Mary Es Mi Amor,Grupo Azteka,Tu Destino,1998-01-01,47,205226,0,album,10,1,1998,1,27,1990s,"grupera,cumbia",grupera,51,21003,3.42,0,low,0,86,0.449,0.409,7,0.0,0.267,-4.933,0.0266,0.576
Me Prefieres A Mi,Arcangel,Me Prefieres A Mi,2012-01-01,70,195657,0,single,1,1,2012,1,13,2010s,"reggaeton,trap latino,urbano latino",reggaeton,83,16483701,3.26,1,medium,0,81,0.546,0.726,6,2.7e-05,0.913,-8.127,0.0846,0.788
Me Rehúso,Danny Ocean,54+1,2019-03-22,75,205714,0,album,13,1,2019,3,6,2010s,reggaeton,reggaeton,80,5920221,3.43,0,high,0,180,0.397,0.724,8,0.0,0.07,-3.473,0.09,0.949
"Mi Amiga, Mi Esposa, Mi Amante (Remastered 2023)",Lalo Y Los Descalzos,Reflexiones (Remastered 2023),2023-01-25,48,226115,0,album,10,1,2023,1,2,2020s,"grupera,vallenato,cumbia",grupera,60,140283,3.77,0,low,0,140,0.101,0.784,7,0.000246,0.363,-7.007,0.0938,0.771
MI EX TENÍA RAZÓN,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-10,77,154374,0,album,9,1,2023,8,2,2020s,"reggaeton,latin,urbano latino",reggaeton,88,55109057,2.57,0,high,0,96,0.0361,0.846,8,0.0,0.0448,-2.47,0.0738,0.883
Mi Refe,"Beéle, Ovy On The Drums",Mi Refe,2024-12-05,84,159404,0,single,1,2,2024,12,1,2020s,reggaeton,reggaeton,82,1210315,2.66,1,high,1,100,0.0452,0.732,7,9.8e-05,0.127,-4.281,0.0302,0.681
Mirame,"Blessd, Ovy On The Drums",MIRAME REMIX,2024-12-11,75,238666,1,single,1,3,2024,12,1,2020s,"reggaeton,urbano latino",reggaeton,83,6657561,3.98,1,high,1,176,0.141,0.717,7,3e-05,0.0661,-4.449,0.0797,0.695
MIRAME REMIX,"Blessd, Anuel AA, Ovy On The Drums",MIRAME REMIX,2024-12-11,75,238666,1,single,1,3,2024,12,1,2020s,"reggaeton,urbano latino",reggaeton,83,6657561,3.98,1,high,1,176,0.212,0.664,7,7e-06,0.123,-4.503,0.0839,0.77
Mis Primeros Recuerdos,Jorge Acosta,Recuerdos 1998,2020-07-28,46,209972,0,compilation,5,1,2020,7,5,2020s,"vallenato,polka",vallenato,51,8981,3.5,0,low,0,83,0.0504,0.628,7,0.0,0.096,-7.145,0.0482,0.66
MOJABI GHOST,"Tainy, Bad Bunny",DATA,2023-06-29,77,232131,1,album,20,2,2023,6,2,2020s,reggaeton,reggaeton,78,2696418,3.87,0,high,1,95,0.857,0.717,2,0.874,0.167,-20.284,0.0317,0.148
Moscow Mule,Bad Bunny,Un Verano Sin Ti,2022-05-06,77,245939,1,album,23,1,2022,5,3,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,4.1,0,high,0,134,0.34,0.877,8,0.0,0.116,-5.963,0.238,0.743
Necesito De Ti,Grupo Azteka,Y Me Besó,1998-01-01,51,196240,0,album,11,1,1998,1,27,1990s,"grupera,cumbia",grupera,51,21003,3.27,0,medium,0,153,0.231,0.451,7,0.0,0.118,-6.659,0.0283,0.86
Netflixxx,"Brytiago, Bad Bunny",Netflixxx,2017-06-29,71,219007,1,single,1,2,2017,6,8,2010s,"trap latino,reggaeton,urbano latino,trap",trap latino,76,7247060,3.65,1,medium,1,130,0.603,0.847,5,0.0,0.869,-9.916,0.383,0.637
No Hay Problema,Lalo Y Los Descalzos,No Hay Problema,2008-08-29,44,213577,0,album,12,1,2008,8,17,2000s,"grupera,vallenato,cumbia",grupera,60,140283,3.56,0,low,0,75,0.36,0.722,6,1.7e-05,0.287,-8.163,0.0334,0.896
No Me Conoce - Remix,"JHAYCO, J Balvin, Bad Bunny",Famouz,2019-05-24,78,309120,0,album,13,3,2019,5,6,2010s,"reggaeton,trap latino,urbano latino",reggaeton,82,8540284,5.15,0,high,1,92,0.14,0.804,8,0.0,0.0927,-3.824,0.0746,0.562
No Se Va,Morat,Balas Perdidas,2018-10-25,74,216752,0,album,12,1,2018,10,7,2010s,"colombian pop,latin pop",colombian pop,82,12873223,3.61,0,medium,0,92,0.117,0.734,7,0.0,0.109,-5.37,0.0453,0.754
No Te Hagas,"Jory Boy, Bad Bunny",No Te Hagas,2017-03-11,73,233250,0,single,1,2,2017,3,8,2010s,"reggaeton,trap latino",reggaeton,69,1908870,3.89,1,medium,1,132,0.0353,0.748,7,0.0,0.315,-3.812,0.0477,0.433
Normal,Feid,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,2022-09-14,75,171880,1,album,15,1,2022,9,3,2020s,"reggaeton,urbano latino",reggaeton,89,16314649,2.86,0,high,0,90,0.016,0.367,6,0.0,0.0831,-5.986,0.0493,0.746
Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,92,274192,1,single,1,1,2024,5,1,2020s,"hip hop,west coast hip hop",hip hop,97,38686072,4.57,1,high,0,101,0.0107,0.898,5,0.0,0.141,-7.001,0.0776,0.214
Nueva Era,"Duki, Myke Towers",AMERI,2024-10-31,75,217547,1,album,15,2,2024,10,1,2020s,"argentine trap,trap,trap latino",argentine trap,82,12167968,3.63,0,high,1,180,0.126,0.763,6,2.1e-05,0.238,-4.636,0.12,0.531
NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,90,183685,0,album,17,1,2025,1,0,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,3.06,0,high,0,98,0.25,0.636,7,7e-06,0.116,-4.708,0.0323,0.544
offline,"Young Miko, Feid",att.,2024-04-05,72,201935,1,album,16,2,2024,4,1,2020s,trap latino,trap latino,77,3686597,3.37,0,medium,1,102,0.109,0.808,8,0.0,0.53,-5.077,0.0358,0.632
Oh Garota Eu Quero Você Só Pra Mim,"Oruam, Zé Felipe, MC Tuto, Dj Lc da Roça, MC K9, Mc Rodrigo do CN, mc pl alves",Oh Garota Eu Quero Você Só Pra Mim,2024-12-17,81,166861,1,single,1,7,2024,12,1,2020s,"brazilian trap,trap funk,trap",brazilian trap,76,4005769,2.78,1,high,1,85,0.0333,0.623,8,0.0,0.308,-4.797,0.303,0.735
Ohnana,Kapo,Ohnana,2024-06-06,78,156577,0,single,1,1,2024,6,1,2020s,latin afrobeat,latin afrobeat,79,522160,2.61,1,high,0,92,0.0102,0.836,5,8e-06,0.132,-5.719,0.061,0.55
Ojitos Chiquitos,Don Omar,King Of Kings,2006-01-01,72,229026,0,album,18,1,2006,1,19,2000s,"reggaeton,urbano latino",reggaeton,83,14011255,3.82,0,medium,0,170,0.0206,0.801,8,7.7e-05,0.0946,-3.267,0.24,0.792
Ojitos Lindos,"Bad Bunny, Bomba Estéreo",Un Verano Sin Ti,2022-05-06,78,258298,0,album,23,2,2022,5,3,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,4.3,0,high,1,176,0.597,0.608,6,2e-06,0.25,-4.773,0.301,0.246
OJITOS ROJOS,"Grupo Frontera, Ke Personajes",El Comienzo,2023-08-25,71,221601,0,album,12,2,2023,8,2,2020s,"cumbia norteña,banda,norteño,música mexicana,corrido,corridos tumbados,grupera,corridos bélicos,tejano",cumbia norteña,86,6065104,3.69,0,medium,1,90,0.251,0.721,8,0.0,0.107,-3.51,0.045,0.77
OLIMPO,Milo j,166 (DELUXE) retirada,2025-02-12,70,169366,0,album,20,1,2025,2,0,2020s,argentine trap,argentine trap,82,6432168,2.82,0,medium,0,82,0.594,0.572,7,3.4e-05,0.336,-4.326,0.0507,0.644
Otra poesía,"L-Gante, DT.Bilardo",Otra poesía,2024-01-18,57,232588,1,single,1,2,2024,1,1,2020s,"rkt,turreo",rkt,65,2335279,3.88,1,medium,1,84,0.177,0.559,7,0.0,0.281,-6.615,0.213,0.383
Pa Ti Estoy,"Ozuna, Anuel AA, Chris Jedi",Cosmo,2023-11-17,68,206103,0,album,15,3,2023,11,2,2020s,"reggaeton,latin,trap latino,urbano latino",reggaeton,86,38185972,3.44,0,medium,1,92,0.69,0.811,4,0.0,0.088,-7.757,0.0615,0.594
Parte & Choke,"Jombriel, Alex Krack, Jøtta",Parte & Choke,2024-11-05,80,205264,0,single,1,3,2024,11,1,2020s,"rkt,dancehall",rkt,72,204261,3.42,1,high,1,117,0.00581,0.728,7,0.0,0.131,-3.976,0.365,0.884
Partido en Dos,Banda Tava'i Oficial,Partido en Dos,2024-02-13,45,204456,0,single,1,1,2024,2,1,2020s,polka,polka,43,17565,3.41,1,low,0,83,0.139,0.625,9,1e-06,0.111,-4.407,0.0716,0.952
PELIGROSA,FloyyMenor,EL COMIENZO,2024-08-09,77,134930,1,album,7,1,2024,8,1,2020s,"reggaeton chileno,chilean trap",reggaeton chileno,80,1525080,2.25,0,high,0,100,0.319,0.776,4,1.3e-05,0.0723,-8.99,0.0575,0.838
Pera Madura (Remastered 2023),Lalo Y Los Descalzos,Reflexiones (Remastered 2023),2023-01-25,50,211591,0,album,10,1,2023,1,2,2020s,"grupera,vallenato,cumbia",grupera,60,140283,3.53,0,medium,0,180,0.085,0.554,6,0.000262,0.333,-6.642,0.0769,0.954
"Perdonarte, ¿Para Qué?","Los Ángeles Azules, Emilia","Perdonarte, ¿Para Qué?",2024-05-23,74,193933,0,single,1,2,2024,5,1,2020s,"cumbia,cumbia sonidera,salsa",cumbia,77,8156338,3.23,1,medium,1,90,0.168,0.672,7,0.0,0.0445,-4.662,0.0314,0.615
Perdóname,"La Factoria, Eddy Lover",Nuevas Metas,2006-12-04,74,242390,0,album,12,2,2006,12,19,2000s,reggaeton,reggaeton,64,657257,4.04,0,medium,1,95,0.251,0.67,8,0.0,0.199,-5.868,0.0334,0.384
PERFuMITO NUEVO,"Bad Bunny, RaiNao",DeBÍ TiRAR MáS FOToS,2025-01-05,85,200680,1,album,17,2,2025,1,0,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,3.34,0,high,1,98,0.25,0.636,7,7e-06,0.116,-4.708,0.0323,0.544
PERRO NEGRO,"Bad Bunny, Feid",nadie sabe lo que va a pasar mañana,2023-10-13,80,162767,1,album,22,2,2023,10,2,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,2.71,0,high,1,95,0.0368,0.795,8,3.8e-05,0.227,-3.322,0.0821,0.334
