track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,album_type,total_tracks,artists_count,release_year,release_month,years_since_release,decade,genres,primary_genre,artist_popularity,artist_followers,duration_minutes,is_single,popularity_category,is_collaboration,bpm,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
Persia - Remix,"Jossef, Jamby El Favo, Eix",Persia (Remix),2021-01-23,36,250906,0,single,1,3,2021,1,4,2020s,"reggaeton,urbano latino",reggaeton,55,87282,4.18,1,low,1,176,0.198,0.736,8,4e-06,0.109,-3.676,0.0567,0.747
Piel,"Tiago PZK, Ke Personajes",GOTTI A,2024-07-04,75,142041,1,album,14,2,2024,7,1,2020s,"argentine trap,urbano latino",argentine trap,77,5633575,2.37,0,high,1,86,0.224,0.484,7,0.000366,0.0903,-4.077,0.0632,0.469
Pobre Corazón - En Vivo,"Ke Personajes, Onda Sabanera",Pobre Corazón (En Vivo),2023-03-02,68,198930,0,single,1,2,2023,3,2,2020s,"cumbia,cuarteto",cumbia,76,4212750,3.32,1,medium,1,123,0.445,0.764,4,0.0,0.162,-8.212,0.0533,0.203
Por Mil Noches,Airbag,Libertad,2013-11-27,66,283884,0,album,15,1,2013,11,12,2010s,argentine rock,argentine rock,69,1065645,4.73,0,medium,0,112,0.0169,0.553,7,5.3e-05,0.186,-7.489,0.0291,0.286
POR QUÉ SERÁ,"Grupo Frontera, Maluma",JUGANDO A QUE NO PASA NADA,2024-05-10,70,209492,0,album,12,2,2024,5,1,2020s,"cumbia norteña,banda,norteño,música mexicana,corrido,corridos tumbados,grupera,corridos bélicos,tejano",cumbia norteña,86,6065104,3.49,0,medium,1,152,0.287,0.655,7,0.0,0.213,-5.809,0.0499,0.702
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",PRIMERA MUSA,2024-09-20,81,224022,1,album,17,2,2024,9,1,2020s,unknown,unknown,83,767684,3.73,0,high,1,155,0.103,0.56,7,0.0,0.106,-6.304,0.244,0.388
QLONA,"KAROL G, Peso Pluma",MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-10,77,172797,1,album,9,2,2023,8,2,2020s,"reggaeton,latin,urbano latino",reggaeton,88,55109057,2.88,0,high,1,128,0.00528,0.778,9,0.000337,0.138,-3.179,0.0413,0.555
Que Lloro,Sin Bandera,De Viaje,2003-10-01,74,240613,0,album,16,1,2003,10,22,2000s,latin pop,latin pop,72,6475966,4.01,0,medium,0,140,0.754,0.593,4,5e-06,0.117,-9.774,0.03,0.323
Quién,Grupo Azteka,Corazon Azteka,2020-02-03,31,193385,0,album,22,1,2020,2,5,2020s,"grupera,cumbia",grupera,51,21003,3.22,0,low,0,82,0.279,0.586,7,2.5e-05,0.299,-6.169,0.0264,0.853
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,2024-11-15,86,191018,1,album,18,2,2024,11,1,2020s,"reggaeton,urbano latino,trap latino,latin",reggaeton,90,26865670,3.18,0,high,1,115,0.0703,0.849,8,0.0,0.0491,-3.508,0.0737,0.649
Rara Vez,"Milo j, Taiu",Rara Vez,2023-02-08,75,128677,0,single,1,2,2023,2,2,2020s,argentine trap,argentine trap,82,6432168,2.14,1,high,1,120,0.176,0.838,7,0.0,0.343,-4.668,0.166,0.96
Recordarás Que Te Amo,La Revancha,Recordarás Que Te Amo,1994-01-01,45,183346,0,album,12,1,1994,1,31,1990s,"grupera,cumbia norteña,norteño,tejano",grupera,39,4046,3.06,0,low,0,168,0.251,0.639,6,0.0,0.209,-11.871,0.0617,0.925
Rio,J Balvin,Rio,2025-01-24,75,188386,0,single,1,1,2025,1,0,2020s,"reggaeton,latin",reggaeton,87,37966881,3.14,1,high,0,89,0.38,0.736,6,1.9e-05,0.111,-5.409,0.394,0.394
Rosas,La Oreja de Van Gogh,Lo Que Te Conte Mientras Te Hacias La Dormida,2003,75,236506,0,album,15,1,2003,1,22,2000s,latin pop,latin pop,73,4313132,3.94,0,high,0,107,0.627,0.783,7,3e-06,0.108,-5.008,0.0271,0.54
Running Wild,Jin,Happy - :') (Remixes),2024-11-19,78,151646,0,album,8,1,2024,11,1,2020s,k-pop,k-pop,80,8782582,2.53,0,high,0,80,0.897,0.625,1,0.0,0.0856,-13.824,0.0343,0.496
Salió El Sol,Don Omar,King Of Kings,2006-01-01,75,315293,0,album,18,1,2006,1,19,2000s,"reggaeton,urbano latino",reggaeton,83,14011255,5.25,0,high,0,110,0.106,0.887,7,0.00948,0.0466,-5.892,0.0873,0.965
Santa,"Rvssian, Rauw Alejandro, Ayra Starr",Santa,2024-04-04,73,193038,0,single,1,3,2024,4,1,2020s,trap latino,trap latino,71,2517230,3.22,1,medium,1,100,0.321,0.725,7,0.000189,0.114,-5.017,0.129,0.648
SE ME OLVIDA,"Maisak, Feid",SE ME OLVIDA,2024-08-23,78,225373,1,single,1,2,2024,8,1,2020s,reggaeton,reggaeton,68,136068,3.76,1,high,1,82,0.0399,0.786,7,0.0,0.121,-4.386,0.0635,0.691
Se Murió De Amor,Super Express,A Bailar Con Super Express,1997-05-12,45,182950,0,album,13,1,1997,5,28,1990s,"grupera,cumbia,cumbia norteña",grupera,41,7628,3.05,0,low,0,162,0.449,0.626,6,0.0,0.0527,-8.12,0.0622,0.865
Se Preparó,Ozuna,Odisea,2017-08-25,74,188080,0,album,16,1,2017,8,8,2010s,"reggaeton,latin,trap latino,urbano latino",reggaeton,86,38185972,3.13,0,medium,0,171,0.222,0.739,8,1e-05,0.311,-4.233,0.0852,0.693
Según Quién,"Maluma, Carin Leon",Don Juan,2023-08-25,76,142334,1,album,25,2,2023,8,2,2020s,"reggaeton,latin,urbano latino",reggaeton,86,36147300,2.37,0,high,1,108,0.255,0.885,7,0.000124,0.0488,-3.338,0.0647,0.499
Señal De Vida,"Dalmata, NEJO",Ñejo & Dalmata Special Edition,2012-10-01,63,240255,1,single,5,2,2012,10,13,2010s,reggaeton,reggaeton,63,1941123,4.0,1,medium,1,106,0.484,0.747,6,2e-06,0.195,-6.029,0.0329,0.962
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,2024-06-21,88,195824,0,single,1,1,2024,6,1,2020s,"reggaeton,latin,urbano latino",reggaeton,88,55109057,3.26,1,high,0,128,0.446,0.924,7,0.000594,0.0678,-6.795,0.0469,0.787
Si Las Gatas Se Amotinan,"Peipper, DobleP, Locura Mix",Si Las Gatas Se Amotinan,2024-11-14,70,164000,0,single,1,3,2024,11,1,2020s,"rkt,turreo",rkt,64,305174,2.73,1,medium,1,80,0.139,0.889,5,0.0,0.221,-12.083,0.309,0.648
Si No Le Contesto,Plan B,House of Pleasure,2010-07-20,72,221520,0,album,15,1,2010,7,15,2010s,reggaeton,reggaeton,79,5633135,3.69,0,medium,0,95,0.101,0.847,8,0.0,0.184,-4.569,0.0498,0.531
Si Yo Fuera El,Lalo Y Los Descalzos,Gracias,2003-08-19,49,192786,0,album,10,1,2003,8,22,2000s,"grupera,vallenato,cumbia",grupera,60,140283,3.21,0,low,0,136,0.00703,0.525,6,0.000183,0.258,-6.212,0.0288,0.478
Siempre Me Buscabas,Lalo Y Los Descalzos,Super Cumbias (Remastered),2019-10-26,55,218133,0,album,23,1,2019,10,6,2010s,"grupera,vallenato,cumbia",grupera,60,140283,3.64,0,medium,0,162,0.286,0.693,4,0.0,0.273,-10.062,0.118,0.928
Sigue Bailandome,"Yannc, Darkiel, Eladio Carrion, Brray, Myke Towers",Sigue Bailandome,2018-10-19,69,352441,0,single,1,5,2018,10,7,2010s,reggaeton,reggaeton,59,150533,5.87,1,medium,1,106,0.282,0.799,7,0.001,0.143,-7.252,0.1,0.682
Sola (Remix),"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",Sola (Remix),2016-12-01,74,307910,0,single,1,5,2016,12,9,2010s,"reggaeton,trap latino,urbano latino,latin",reggaeton,87,40802981,5.13,1,medium,1,100,0.242,0.808,8,2.3e-05,0.104,-5.011,0.0856,0.696
Soltera,Shakira,Soltera,2024-09-25,80,214642,0,single,1,1,2024,9,1,2020s,"latin pop,latin",latin pop,87,36918135,3.58,1,high,0,100,0.167,0.841,8,0.00046,0.949,-4.735,0.105,0.67
SORRY 4 THAT MUCH,Feid,SORRY 4 THAT MUCH,2024-06-07,77,207746,1,single,1,1,2024,6,1,2020s,"reggaeton,urbano latino",reggaeton,89,16314649,3.46,1,high,0,93,0.0318,0.819,7,0.0,0.289,-4.281,0.0727,0.602
Só Fé,Grelo,É o Grelo,2024-07-19,68,203337,0,album,13,1,2024,7,1,2020s,"seresta,arrocha,piseiro,forró,brega,sertanejo",seresta,72,883151,3.39,0,medium,0,140,0.234,0.525,7,0.0,0.116,-5.347,0.0523,0.627
Tal Vez Seas Tu,Grupo Azteka,Y Me Besó,1998-01-01,47,168453,0,album,11,1,1998,1,27,1990s,"grupera,cumbia",grupera,51,21003,2.81,0,low,0,151,0.298,0.574,7,5.5e-05,0.0865,-6.786,0.0303,0.84
Tan Lejos,"No Te Va Gustar, Juan Casanova",El Camino Más Largo,2008-10-23,65,298000,0,album,14,2,2008,10,17,2000s,"argentine rock,latin rock,rock en español,latin alternative",argentine rock,69,2472429,4.97,0,medium,1,120,0.0264,0.652,6,1e-06,0.0758,-7.877,0.0328,0.662
Te Busco,"Cosculluela, Nicky Jam",Te Busco,2015-07-04,72,233639,0,single,1,2,2015,7,10,2010s,"reggaeton,trap latino,latin hip hop",reggaeton,75,6525306,3.89,1,medium,1,178,0.199,0.68,8,0.0,0.0947,-5.149,0.135,0.753
Te Quiero Asi,Lalo Y Los Descalzos,No Hay Problema,2008-08-29,56,177841,0,album,12,1,2008,8,17,2000s,"grupera,vallenato,cumbia",grupera,60,140283,2.96,0,medium,0,74,0.49,0.721,6,3e-06,0.189,-8.546,0.0325,0.828
Te Voy Amar,Jorge Acosta,Kachaka Tropic,2019-06-27,52,181776,0,single,2,1,2019,6,6,2010s,"vallenato,polka",vallenato,51,8981,3.03,1,medium,0,82,0.34,0.539,8,1.9e-05,0.131,-5.926,0.0523,0.782
Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo (Remix),2021-04-01,78,321555,0,single,1,3,2021,4,4,2020s,unknown,unknown,68,193716,5.36,1,high,1,110,0.282,0.75,5,0.0,0.0743,-7.018,0.0293,0.601
Toda,"Alex Rose, Rauw Alejandro",Toda (Remix),2018-06-01,67,367680,0,single,1,5,2018,6,7,2010s,"trap latino,reggaeton,urbano latino",trap latino,71,4193160,6.13,1,medium,1,80,0.419,0.487,5,2e-06,0.106,-7.939,0.178,0.361
Todo De Ti,Rauw Alejandro,VICE VERSA,2021-12-10,75,199604,1,album,14,1,2021,12,4,2020s,"reggaeton,urbano latino,trap latino,latin",reggaeton,90,26865670,3.33,0,high,0,128,0.302,0.78,7,0.000196,0.0931,-3.613,0.0506,0.336
Tomame O Dejame,Tropical Caribe,A Bailar La Cumbia - 20 Exitos,2013-01-01,52,200013,0,album,20,1,2013,1,12,2010s,"cumbia,grupera,música tropical",cumbia,45,45764,3.33,0,medium,0,167,0.219,0.587,5,2.2e-05,0.052,-11.838,0.0597,0.866
Tu Boda,"Oscar Maydon, Fuerza Regida",Tu Boda,2024-09-26,85,225880,1,single,1,2,2024,9,1,2020s,"corridos tumbados,corrido,corridos bélicos,electro corridos,sad sierreño,banda,música mexicana",corridos tumbados,83,4676309,3.76,1,high,1,113,0.496,0.694,7,1.4e-05,0.0787,-6.968,0.0784,0.471
Tu No Sabes Nada,Jorge Acosta,Kachaka Paraguay,2018-11-16,47,193000,0,single,2,1,2018,11,7,2010s,"vallenato,polka",vallenato,51,8981,3.22,1,low,0,78,0.0106,0.61,6,0.0,0.0372,-8.647,0.0556,0.901
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),2016-09-30,73,264000,1,single,1,4,2016,9,9,2010s,"reggaeton,trap latino,urbano latino",reggaeton,83,16483701,4.4,1,medium,1,120,0.54,0.815,5,0.0,0.611,-9.446,0.361,0.623
TURiSTA,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,83,190028,0,album,17,1,2025,1,0,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,3.17,0,high,0,98,0.25,0.636,7,7e-06,0.116,-4.708,0.0323,0.544
Ultra Complicado,Kenny Die,Ultra Complicado,2024-01-03,73,176298,0,single,1,2,2024,1,1,2020s,unknown,unknown,65,46422,2.94,1,medium,1,90,0.471,0.614,4,2e-06,0.161,-9.608,0.508,0.385
Un Dia A La Vez,Lalo Y Los Descalzos,Las Mejores Vol. 1,2006-10-17,47,201973,0,album,15,1,2006,10,19,2000s,"grupera,vallenato,cumbia",grupera,60,140283,3.37,0,low,0,140,0.144,0.722,7,0.0,0.16,-6.062,0.104,0.778
Un Finde | CROSSOVER #2,"Big One, FMK, Ke Personajes",Un Finde | CROSSOVER #2,2023-04-04,69,162500,0,single,1,3,2023,4,2,2020s,"argentine trap,cuarteto,cumbia",argentine trap,70,758144,2.71,1,medium,1,88,0.183,0.687,7,0.0,0.125,-5.326,0.0598,0.681
UN PESO,"J Balvin, Bad Bunny, Marciano Cantero",OASIS,2019-06-28,74,277106,0,album,8,3,2019,6,6,2010s,"reggaeton,latin",reggaeton,87,37966881,4.62,0,medium,1,79,0.125,0.627,7,0.0,0.0784,-7.125,0.213,0.961
Un Sueño (Remastered 2023),Lalo Y Los Descalzos,Reflexiones (Remastered 2023),2023-01-25,45,195761,0,album,10,1,2023,1,2,2020s,"grupera,vallenato,cumbia",grupera,60,140283,3.26,0,low,0,139,0.0793,0.71,7,3.2e-05,0.184,-5.074,0.0405,0.731
Un Sólo Motivo,Samuray,Lo Más Escuchado De,2019-08-02,44,187973,0,album,20,1,2019,8,6,2010s,"grupera,cumbia",grupera,61,775691,3.13,0,low,0,154,0.425,0.656,6,2e-06,0.352,-10.183,0.048,0.715
un x100to,"Grupo Frontera, Bad Bunny",El Comienzo,2023-08-25,75,194563,0,album,12,2,2023,8,2,2020s,"cumbia norteña,banda,norteño,música mexicana,corrido,corridos tumbados,grupera,corridos bélicos,tejano",cumbia norteña,86,6065104,3.24,0,high,1,98,0.00287,0.7,9,0.0,0.741,-2.055,0.206,0.679
Una Foto Remix (feat. Emilia),"Mesita, Nicki Nicole, Tiago PZK, Emilia",Una Foto Remix (feat. Emilia),2024-01-05,69,243898,1,single,1,4,2024,1,1,2020s,"rkt,turreo,argentine trap,trap",rkt,62,571524,4.06,1,medium,1,96,0.313,0.76,7,0.0,0.0784,-3.667,0.0631,0.739
Una Vez,Jorge Acosta,Zona Vip,2021-10-02,45,187250,0,compilation,6,1,2021,10,4,2020s,"vallenato,polka",vallenato,51,8981,3.12,0,low,0,97,0.17,0.83,7,0.0,0.27,-5.805,0.0721,0.799
UWAIE,Kapo,UWAIE,2024-08-15,80,172427,0,single,1,1,2024,8,1,2020s,latin afrobeat,latin afrobeat,79,522160,2.87,1,high,0,103,0.138,0.705,8,0.0,0.0984,-4.783,0.0403,0.454
VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",DeBÍ TiRAR MáS FOToS,2025-01-05,88,235336,1,album,17,3,2025,1,0,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,3.92,0,high,1,102,0.29,0.613,10,0.0023,0.437,-18.638,0.149,0.0337
Vibrador,Engel Montaz,Desire,2024-07-10,68,186666,1,album,12,1,2024,7,1,2020s,dembow,dembow,64,13506,3.11,0,medium,0,145,0.152,0.727,8,0.0,0.2,-5.301,0.0819,0.873
Virtual Diva,Don Omar,iDon,2009-01-01,66,239493,0,album,11,1,2009,1,16,2000s,"reggaeton,urbano latino",reggaeton,83,14011255,3.99,0,medium,0,114,0.21,0.785,9,0.0,0.754,-4.207,0.0494,0.724
Volver,"Piso 21, Marc Anthony, Beéle",Volver,2025-02-06,75,232149,0,single,1,3,2025,2,0,2020s,"reggaeton,colombian pop,pop urbano",reggaeton,74,9319211,3.87,1,high,1,156,0.024,0.514,8,0.000156,0.205,-7.702,0.0429,0.42
VOY A LLeVARTE PA PR,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,89,156364,1,album,17,1,2025,1,0,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,2.61,0,high,0,98,0.25,0.636,7,7e-06,0.116,-4.708,0.0323,0.544
WELTiTA,"Bad Bunny, Chuwi",DeBÍ TiRAR MáS FOToS,2025-01-05,87,187507,0,album,17,2,2025,1,0,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,3.13,0,high,1,98,0.25,0.636,7,7e-06,0.116,-4.708,0.0323,0.544
Who,Jimin,MUSE,2024-07-19,86,170887,0,album,7,1,2024,7,1,2020s,k-pop,k-pop,85,9910120,2.85,0,high,0,128,0.0101,0.854,7,0.855,0.0866,-7.244,0.0482,0.0338
Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),2024-11-29,82,234895,0,single,1,2,2024,11,1,2020s,k-pop,k-pop,81,19366762,3.91,1,high,1,77,0.858,0.36,3,0.000212,0.23,-9.954,0.0284,0.229
WYA REMIX RED,"J Abdiel, De La Rose, Yan Block, iZaak, Jay Wheeler",WYA REMIX RED,2024-05-10,74,321741,1,single,1,5,2024,5,1,2020s,unknown,unknown,68,244911,5.36,1,medium,1,110,0.364,0.733,5,0.0,0.0999,-5.985,0.0486,0.371
Y Me Enamoré,Carlos Montalvo,Y Me Enamoré,2022-10-28,45,217499,0,single,1,1,2022,10,3,2020s,cumbia,cumbia,41,9246,3.62,1,low,0,160,0.301,0.724,6,0.000329,0.0911,-7.451,0.0359,0.901
Yellow,Coldplay,Parachutes,2000-07-10,86,266773,0,album,10,1,2000,7,25,2000s,unknown,unknown,90,57024578,4.45,0,high,0,173,0.00239,0.429,7,0.000121,0.234,-7.227,0.0281,0.285
Yo sé,"Yan Block, TORRRES",Yo sé,2024-05-23,77,129705,1,single,1,2,2024,5,1,2020s,unknown,unknown,77,495495,2.16,1,high,1,136,0.68,0.716,5,0.0,0.132,-9.847,0.128,0.626
Zun Da Da,Zion,The Perfect Melody,2007-06-05,69,304091,0,album,15,1,2007,6,18,2000s,reggaeton,reggaeton,74,4368856,5.07,0,medium,0,88,0.266,0.782,8,3.6e-05,0.0947,-7.981,0.0871,0.622
